date,year,tournament,series,court,surface,round,best_of,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,status,win_counts,tsets
2017-01-03,2017,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Donaldson J.,Muller G.,105.0,34.0,570.0,1255.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,36,2.0
2017-01-03,2017,Chennai Open,ATP250,Outdoor,Hard,1st Round,3,Lu Y.H.,Albot R.,64.0,97.0,754.0,614.0,6.0,2.0,6.0,1.0,,,,,,,2.0,0.0,Completed,9,2.0
2017-01-03,2017,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Groth S.,Herbert P.H.,180.0,78.0,320.0,698.0,6.0,3.0,5.0,7.0,7.0,5.0,,,,,2.0,1.0,Completed,2,3.0
2017-01-03,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Melzer G.,Mathieu P.H.,68.0,73.0,728.0,710.0,6.0,7.0,6.0,3.0,6.0,2.0,,,,,2.0,1.0,Completed,10,3.0
2017-01-03,2017,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Troicki V.,Nishioka Y.,29.0,100.0,1385.0,604.0,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,34,2.0
2017-01-03,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Berdych T.,Giannessi A.,10.0,128.0,3060.0,475.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,59,2.0
2017-01-03,2017,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Pouille L.,Simon G.,15.0,25.0,2156.0,1585.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,82,2.0
2017-01-03,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Karlovic I.,Marchenko I.,20.0,74.0,1795.0,705.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,40,2.0
2017-01-03,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Tsonga J.W.,Kuznetsov An.,12.0,46.0,2550.0,970.0,6.0,1.0,4.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,73,3.0
2017-01-03,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Murray A.,Chardy J.,1.0,69.0,12410.0,725.0,6.0,0.0,7.0,6.0,,,,,,,2.0,0.0,Completed,60,2.0
2017-01-03,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Jaziri M.,32.0,58.0,1325.0,814.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,82,2.0
2017-01-03,2017,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Nadal R.,Dolgopolov O.,9.0,62.0,3300.0,760.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,207,2.0
2017-01-03,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,1st Round,3,Khachanov K.,Zayid M.S.,53.0,1277.0,863.0,5.0,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,141,2.0
2017-01-03,2017,Brisbane International,ATP250,Outdoor,Hard,1st Round,3,Schwartzman D.,Querrey S.,52.0,31.0,864.0,1355.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,165,2.0
2017-01-04,2017,Chennai Open,ATP250,Outdoor,Hard,2nd Round,3,Ramos-Vinolas A.,Darcis S.,27.0,86.0,1435.0,658.0,6.0,2.0,6.0,0.0,,,,,,,2.0,0.0,Completed,114,2.0
2017-01-04,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3,Almagro N.,Kohlschreiber P.,44.0,32.0,1013.0,1325.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,10,2.0
2017-01-04,2017,Chennai Open,ATP250,Outdoor,Hard,2nd Round,3,Medvedev D.,Lu Y.H.,99.0,64.0,611.0,754.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,195,2.0
2017-01-04,2017,Chennai Open,ATP250,Outdoor,Hard,2nd Round,3,Kovalik J.,Cilic M.,117.0,6.0,501.0,3650.0,7.0,6.0,5.0,7.0,7.0,5.0,,,,,2.0,1.0,Completed,17,3.0
2017-01-04,2017,Chennai Open,ATP250,Outdoor,Hard,2nd Round,3,Sela D.,Chung H.,96.0,104.0,616.0,571.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,18,2.0
2017-01-04,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3,Djokovic N.,Zeballos H.,2.0,71.0,11780.0,722.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,216,2.0
2017-01-04,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3,Berdych T.,Vesely J.,10.0,55.0,3060.0,848.0,7.0,6.0,1.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed,59,3.0
2017-01-04,2017,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3,Stepanek R.,De Greef A.,107.0,134.0,558.0,456.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,3,2.0
2017-01-04,2017,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3,Thompson J.,Ferrer D.,79.0,21.0,689.0,1785.0,4.0,6.0,7.0,5.0,7.0,5.0,,,,,2.0,1.0,Completed,68,3.0
2017-01-04,2017,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3,Nishikori K.,Donaldson J.,5.0,105.0,4905.0,570.0,4.0,6.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed,127,3.0
