date,year,tournament,series,court,surface,round,best_of,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,status,win_counts,tsets,s1win,s1loss,s1win(%)
2017-01-19,2017,Australian Open,Grand Slam,Outdoor,Hard,2nd Round,5,Nadal R.,Baghdatis M.,9.0,36.0,3195.0,1210.0,6.0,3.0,6.0,1.0,6.0,3.0,,,,,3.0,0.0,Completed,207,3.0,206,3,99.0
2017-01-19,2017,Australian Open,Grand Slam,Outdoor,Hard,2nd Round,5,Thiem D.,Thompson J.,8.0,76.0,3415.0,699.0,6.0,2.0,6.0,1.0,6.0,7.0,6.0,4.0,,,3.0,1.0,Completed,173,4.0,173,8,96.0
2017-01-19,2017,Australian Open,Grand Slam,Outdoor,Hard,2nd Round,5,Zverev A.,Tiafoe F.,24.0,108.0,1655.0,550.0,6.0,2.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,Completed,226,3.0,226,16,93.0
2017-01-20,2017,Australian Open,Grand Slam,Outdoor,Hard,3rd Round,5,Federer R.,Berdych T.,17.0,10.0,1980.0,3060.0,6.0,2.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,163,3.0,163,7,96.0
2017-01-21,2017,Australian Open,Grand Slam,Outdoor,Hard,3rd Round,5,Thiem D.,Paire B.,8.0,47.0,3415.0,960.0,6.0,1.0,4.0,6.0,6.0,4.0,6.0,4.0,,,3.0,1.0,Completed,173,4.0,173,17,91.0
2017-01-21,2017,Australian Open,Grand Slam,Outdoor,Hard,3rd Round,5,Nadal R.,Zverev A.,9.0,24.0,3195.0,1655.0,4.0,6.0,6.0,3.0,6.0,7.0,6.0,3.0,6.0,2.0,3.0,2.0,Completed,207,5.0,206,27,88.0
2017-01-22,2017,Australian Open,Grand Slam,Outdoor,Hard,4th Round,5,Federer R.,Nishikori K.,17.0,5.0,1980.0,5010.0,6.0,7.0,6.0,4.0,6.0,1.0,4.0,6.0,6.0,3.0,3.0,2.0,Completed,163,5.0,163,23,88.0
2017-01-23,2017,Australian Open,Grand Slam,Outdoor,Hard,4th Round,5,Nadal R.,Monfils G.,9.0,6.0,3195.0,3625.0,6.0,3.0,6.0,3.0,4.0,6.0,6.0,4.0,,,3.0,1.0,Completed,207,4.0,206,16,93.0
2017-01-24,2017,Australian Open,Grand Slam,Outdoor,Hard,Quarterfinals,5,Federer R.,Zverev M.,17.0,50.0,1980.0,894.0,6.0,1.0,7.0,5.0,6.0,2.0,,,,,3.0,0.0,Completed,163,3.0,163,9,95.0
2017-01-25,2017,Australian Open,Grand Slam,Outdoor,Hard,Quarterfinals,5,Nadal R.,Raonic M.,9.0,3.0,3195.0,5290.0,6.0,4.0,7.0,6.0,6.0,4.0,,,,,3.0,0.0,Completed,207,3.0,206,13,94.0
2017-01-26,2017,Australian Open,Grand Slam,Outdoor,Hard,Semifinals,5,Federer R.,Wawrinka S.,17.0,4.0,1980.0,5155.0,7.0,5.0,6.0,3.0,1.0,6.0,4.0,6.0,6.0,3.0,3.0,2.0,Completed,163,5.0,163,15,92.0
2017-01-27,2017,Australian Open,Grand Slam,Outdoor,Hard,Semifinals,5,Nadal R.,Dimitrov G.,9.0,15.0,3195.0,2135.0,6.0,3.0,5.0,7.0,7.0,6.0,6.0,7.0,6.0,4.0,3.0,2.0,Completed,207,5.0,206,23,90.0
2017-01-29,2017,Australian Open,Grand Slam,Outdoor,Hard,The Final,5,Federer R.,Nadal R.,17.0,9.0,1980.0,3195.0,6.0,4.0,3.0,6.0,6.0,1.0,3.0,6.0,6.0,3.0,3.0,2.0,Completed,163,5.0,163,19,90.0
2017-02-07,2017,Open Sud de France,ATP250,Indoor,Hard,1st Round,3,Medvedev D.,Kamke T.,63.0,123.0,749.0,477.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,195,2.0,195,1,99.0
2017-02-09,2017,Open Sud de France,ATP250,Indoor,Hard,2nd Round,3,Medvedev D.,Verdasco F.,63.0,40.0,749.0,1070.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,195,2.0,195,17,92.0
2017-02-09,2017,Open Sud de France,ATP250,Indoor,Hard,2nd Round,3,Zverev A.,Bedene A.,21.0,109.0,1735.0,547.0,7.0,5.0,3.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,226,3.0,226,16,93.0
2017-02-10,2017,Open Sud de France,ATP250,Indoor,Hard,Quarterfinals,3,Zverev A.,Chardy J.,21.0,68.0,1735.0,705.0,6.0,4.0,4.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,226,3.0,226,20,92.0
2017-02-11,2017,Open Sud de France,ATP250,Indoor,Hard,Semifinals,3,Zverev A.,Tsonga J.W.,21.0,14.0,1735.0,2685.0,6.0,7.0,6.0,2.0,6.0,4.0,,,,,2.0,1.0,Completed,226,3.0,226,8,97.0
2017-02-12,2017,Open Sud de France,ATP250,Indoor,Hard,The Final,3,Zverev A.,Gasquet R.,21.0,22.0,1735.0,1725.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,226,2.0,226,17,93.0
2017-02-15,2017,ABN AMRO World Tennis Tournament,ATP500,Indoor,Hard,1st Round,3,Thiem D.,Zverev A.,8.0,18.0,3405.0,1895.0,3.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,173,3.0,173,27,86.0
2017-02-16,2017,ABN AMRO World Tennis Tournament,ATP500,Indoor,Hard,2nd Round,3,Thiem D.,Simon G.,8.0,24.0,3405.0,1470.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,173,2.0,173,13,93.0
2017-02-22,2017,Rio Open,ATP500,Outdoor,Clay,2nd Round,3,Thiem D.,Lajovic D.,8.0,97.0,3375.0,597.0,6.0,2.0,7.0,5.0,,,,,,,2.0,0.0,Completed,173,2.0,173,17,91.0
2017-02-22,2017,Rio Open,ATP500,Outdoor,Clay,1st Round,3,Thiem D.,Tipsarevic J.,8.0,96.0,3375.0,603.0,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,173,2.0,173,1,99.0
2017-02-22,2017,Open 13,ATP250,Indoor,Hard,1st Round,3,Medvedev D.,Paire B.,64.0,41.0,779.0,1040.0,5.0,7.0,7.0,5.0,7.0,6.0,,,,,2.0,1.0,Completed,195,3.0,195,17,92.0
2017-02-23,2017,Open 13,ATP250,Indoor,Hard,2nd Round,3,Medvedev D.,Struff J.L.,64.0,62.0,779.0,786.0,6.0,3.0,3.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,195,3.0,195,23,89.0
2017-02-24,2017,Rio Open,ATP500,Outdoor,Clay,Quarterfinals,3,Thiem D.,Schwartzman D.,8.0,51.0,3375.0,865.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,173,2.0,173,29,86.0
2017-02-25,2017,Rio Open,ATP500,Outdoor,Clay,Semifinals,3,Thiem D.,Ramos-Vinolas A.,8.0,25.0,3375.0,1400.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,173,2.0,173,17,91.0
2017-02-26,2017,Rio Open,ATP500,Outdoor,Clay,The Final,3,Thiem D.,Carreno Busta P.,8.0,24.0,3375.0,1495.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,173,2.0,173,24,88.0
2017-02-27,2017,Dubai Tennis Championships,ATP500,Outdoor,Hard,1st Round,3,Federer R.,Paire B.,10.0,39.0,3260.0,1040.0,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,163,2.0,163,17,91.0
2017-02-28,2017,Dubai Tennis Championships,ATP500,Outdoor,Hard,1st Round,3,Medvedev D.,Alawadhi O.,57.0,,797.0,,6.0,2.0,7.0,5.0,,,,,,,2.0,0.0,Completed,195,2.0,195,1,99.0
2017-03-01,2017,Abierto Mexicano,ATP500,Outdoor,Hard,1st Round,3,Thiem D.,Simon G.,9.0,25.0,3375.0,1495.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,173,2.0,173,13,93.0
