date,year,tournament,series,court,surface,round,best_of,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,status,win_counts,tsets,s1win,s1loss,s1win(%),s4win,s4loss,s4win(%)
2017-05-31,2017,French Open,Grand Slam,Outdoor,Clay,2nd Round,5,Thiem D.,Bolelli S.,7.0,470.0,4145.0,78.0,7.0,5.0,6.0,1.0,6.0,3.0,,,,,3.0,0.0,Completed,173,3.0,173,2,99.0,24,0,100.0
2017-05-31,2017,French Open,Grand Slam,Outdoor,Clay,2nd Round,5,Nadal R.,Haase R.,4.0,46.0,5375.0,948.0,6.0,1.0,6.0,4.0,6.0,3.0,,,,,3.0,0.0,Completed,207,3.0,206,13,94.0,19,1,95.0
2017-05-31,2017,French Open,Grand Slam,Outdoor,Clay,2nd Round,5,Djokovic N.,Sousa J.,2.0,59.0,7445.0,830.0,6.0,1.0,6.0,4.0,6.0,3.0,,,,,3.0,0.0,Completed,216,3.0,216,8,96.0,33,0,100.0
2017-06-02,2017,French Open,Grand Slam,Outdoor,Clay,3rd Round,5,Thiem D.,Johnson S.,7.0,26.0,4145.0,1565.0,6.0,1.0,7.0,6.0,6.0,3.0,,,,,3.0,0.0,Completed,173,3.0,173,10,95.0,24,1,96.0
2017-06-02,2017,French Open,Grand Slam,Outdoor,Clay,3rd Round,5,Djokovic N.,Schwartzman D.,2.0,41.0,7445.0,1005.0,5.0,7.0,6.0,3.0,3.0,6.0,6.0,1.0,6.0,1.0,3.0,2.0,Completed,216,5.0,216,29,88.0,33,5,87.0
2017-06-02,2017,French Open,Grand Slam,Outdoor,Clay,3rd Round,5,Nadal R.,Basilashvili N.,4.0,63.0,5375.0,811.0,6.0,0.0,6.0,1.0,6.0,0.0,,,,,3.0,0.0,Completed,207,3.0,206,17,92.0,19,2,90.0
2017-06-04,2017,French Open,Grand Slam,Outdoor,Clay,4th Round,5,Djokovic N.,Ramos-Vinolas A.,2.0,20.0,7445.0,2065.0,7.0,6.0,6.0,1.0,6.0,3.0,,,,,3.0,0.0,Completed,216,3.0,216,17,93.0,33,0,100.0
2017-06-04,2017,French Open,Grand Slam,Outdoor,Clay,4th Round,5,Thiem D.,Zeballos H.,7.0,65.0,4145.0,793.0,6.0,1.0,6.0,3.0,6.0,1.0,,,,,3.0,0.0,Completed,173,3.0,173,5,97.0,24,0,100.0
2017-06-04,2017,French Open,Grand Slam,Outdoor,Clay,4th Round,5,Nadal R.,Bautista Agut R.,4.0,18.0,5375.0,2155.0,6.0,1.0,6.0,2.0,6.0,2.0,,,,,3.0,0.0,Completed,207,3.0,206,22,90.0,19,3,86.0
2017-06-07,2017,French Open,Grand Slam,Outdoor,Clay,Quarterfinals,5,Nadal R.,Carreno Busta P.,4.0,21.0,5375.0,2045.0,6.0,2.0,2.0,0.0,,,,,,,1.0,0.0,Retired,207,1.0,206,24,90.0,19,2,90.0
2017-06-07,2017,French Open,Grand Slam,Outdoor,Clay,Quarterfinals,5,Thiem D.,Djokovic N.,7.0,2.0,4145.0,7445.0,7.0,6.0,6.0,3.0,6.0,0.0,,,,,3.0,0.0,Completed,173,3.0,173,18,91.0,24,1,96.0
2017-06-09,2017,French Open,Grand Slam,Outdoor,Clay,Semifinals,5,Nadal R.,Thiem D.,4.0,7.0,5375.0,4145.0,6.0,3.0,6.0,4.0,6.0,0.0,,,,,3.0,0.0,Completed,207,3.0,206,21,91.0,19,3,86.0
2017-06-11,2017,French Open,Grand Slam,Outdoor,Clay,The Final,5,Nadal R.,Wawrinka S.,4.0,3.0,5375.0,5695.0,6.0,2.0,6.0,3.0,6.0,1.0,,,,,3.0,0.0,Completed,207,3.0,206,15,93.0,19,5,79.0
2017-07-03,2017,Wimbledon,Grand Slam,Outdoor,Grass,1st Round,5,Nadal R.,Millman J.,2.0,137.0,7285.0,414.0,6.0,1.0,6.0,3.0,6.0,2.0,,,,,3.0,0.0,Completed,207,3.0,206,14,94.0,19,2,90.0
2017-07-03,2017,Wimbledon,Grand Slam,Outdoor,Grass,1st Round,5,Medvedev D.,Wawrinka S.,49.0,3.0,922.0,6175.0,6.0,4.0,3.0,6.0,6.0,4.0,6.0,1.0,,,3.0,1.0,Completed,195,4.0,195,15,93.0,14,5,74.0
2017-07-04,2017,Wimbledon,Grand Slam,Outdoor,Grass,1st Round,5,Rublev A.,Travaglia S.,95.0,155.0,585.0,355.0,6.0,7.0,6.0,3.0,7.0,5.0,1.0,6.0,7.0,5.0,3.0,2.0,Completed,154,5.0,147,4,97.0,15,1,94.0
2017-07-04,2017,Wimbledon,Grand Slam,Outdoor,Grass,1st Round,5,Djokovic N.,Klizan M.,4.0,47.0,6055.0,954.0,6.0,3.0,2.0,0.0,,,,,,,1.0,0.0,Retired,216,1.0,216,8,96.0,33,0,100.0
